1,959920,736,292
2,851980,732,290
3,16820,109,28
4,830720,732,290
5,804660,744,290
6,752380,741,290
7,866460,741,290
8,291680,477,177
9,692340,689,265
10,766940,739,290
11,624800,733,291
12,837920,740,291
13,124600,295,105
14,746239,731,290
15,679640,737,290
16,771580,743,292
17,1900,63,10
18,306720,443,162
19,742440,742,293
20,844720,745,292
21,767540,741,292
22,883940,733,290
23,821780,730,290
24,215460,402,146
25,770940,736,291
26,778180,741,291
27,734720,731,290
28,785580,742,293
29,810120,743,292
30,41840,191,59
31,711200,740,291
32,822980,736,290
33,161281,288,102
34,851180,733,290
35,788980,743,293
36,907340,738,290
37,749780,741,291
38,585820,742,290
39,654860,735,291
40,767180,734,292
41,651900,733,290
42,697760,736,290
43,780560,734,290
44,776260,739,293
45,698760,730,290
46,839020,736,292
47,799140,742,292
48,658040,727,274
49,743040,736,291
50,821900,742,293
51,527400,656,248
52,853580,732,291
53,819580,751,293
54,972060,742,292
55,729560,732,291
56,756100,738,292
57,772960,736,290
58,826900,739,293
59,752320,735,290
60,30040,146,42
61,596160,738,291
62,772040,745,290
63,721160,738,291
64,720540,743,293
65,714100,740,291
66,814059,737,291
67,694380,738,291
68,897600,739,292
69,138180,356,129
70,784800,734,292
71,734640,738,292
72,796740,738,292
73,843980,745,293
74,657100,736,290
75,680960,736,291
76,800660,732,290
77,646020,733,290
78,780680,732,291
79,707280,733,290
80,179040,393,143
81,715360,739,291
82,740000,738,291
83,835340,732,290
84,776500,733,290
85,825080,733,290
86,720940,736,291
87,745460,741,292
88,754980,734,291
89,512820,736,291
90,676680,746,292
91,837960,736,292
92,723740,742,293
93,14640,120,31
94,768020,741,291
95,70880,244,83
96,588300,742,291
97,888360,737,291
98,775520,737,291
99,273540,453,163
100,200080,431,157
101,238180,430,154
102,652560,746,292
103,781420,737,291
104,617460,743,292
105,783240,737,290
